type,content,alignment,name,size,visible,delay
text,"<p>Now please read the instruction carefully for the following task. In each trial, you will hear a series of short tones followed by a speech sound. For this task, only pay attention to the speech sound. Your job is to respond whether you heard “Ba” or “Pa”. Press F key on the keyboard by your left index finger if you hear “Ba”. Press J key by your right index finger if you hear “Pa”. If you are not sure, please make the best guess as you can <br /><br />Let's listen to some examples!</p>",center,MainI,,,
text,"<p>Now please read the instruction carefully for the following task. In each trial, you will hear a series of short tones followed by a speech sound. For this task, only pay attention to the speech sound. Your job is to respond whether you heard “Ba” or “Pa”. Press F key on the keyboard by your left index finger if you hear “Pa”. Press J key by your right index finger if you hear “Ba”. If you are not sure, please make the best guess as you can <br /><br />Let's listen to some examples!</p>",center,MainI_reversekey,,,
text,Good job! Take a break.,center,Break,36px,,
audio,300ms_early_delay_2_Emily_pa5_mono.wav,,early_pa1,,false,0.3
audio,300ms_early_delay_2_Emily_pa6_mono.wav,,early_pa2,,false,0.3
audio,300ms_early_delay_2_Emily_pa7_mono.wav,,early_pa3,,false,0.3
audio,300ms_early_delay_2_Emily_pa8_mono.wav,,early_pa4,,false,0.3
audio,300ms_early_delay_2_Emily_pa9_mono.wav,,early_pa5,,false,0.3
audio,300ms_early_delay_2_Emily_pa10_mono.wav,,early_pa6,,false,0.3
audio,300ms_early_delay_2_Emily_pa11_mono.wav,,early_pa7,,false,0.3
audio,300ms_early_delay_2_Emily_pa12_mono.wav,,early_pa8,,false,0.3
audio,300ms_ontime_delay_2_Emily_pa5_mono.wav,,ontime_pa1,,false,0.3
audio,300ms_ontime_delay_2_Emily_pa6_mono.wav,,ontime_pa2,,false,0.3
audio,300ms_ontime_delay_2_Emily_pa7_mono.wav,,ontime_pa3,,false,0.3
audio,300ms_ontime_delay_2_Emily_pa8_mono.wav,,ontime_pa4,,false,0.3
audio,300ms_ontime_delay_2_Emily_pa9_mono.wav,,ontime_pa5,,false,0.3
audio,300ms_ontime_delay_2_Emily_pa10_mono.wav,,ontime_pa6,,false,0.3
audio,300ms_ontime_delay_2_Emily_pa11_mono.wav,,ontime_pa7,,false,0.3
audio,300ms_ontime_delay_2_Emily_pa12_mono.wav,,ontime_pa8,,false,0.3
audio,300ms_late_delay_2_Emily_pa5_mono.wav,,late_pa1,,false,0.3
audio,300ms_late_delay_2_Emily_pa6_mono.wav,,late_pa2,,false,0.3
audio,300ms_late_delay_2_Emily_pa7_mono.wav,,late_pa3,,false,0.3
audio,300ms_late_delay_2_Emily_pa8_mono.wav,,late_pa4,,false,0.3
audio,300ms_late_delay_2_Emily_pa9_mono.wav,,late_pa5,,false,0.3
audio,300ms_late_delay_2_Emily_pa10_mono.wav,,late_pa6,,false,0.3
audio,300ms_late_delay_2_Emily_pa11_mono.wav,,late_pa7,,false,0.3
audio,300ms_late_delay_2_Emily_pa12_mono.wav,,late_pa8,,false,0.3
audio,Emily_pa5_mono.wav,,pa1,,false,0.3
audio,Emily_pa6_mono.wav,,pa2,,false,0.3
audio,Emily_pa7_mono.wav,,pa3,,false,0.3
audio,Emily_pa8_mono.wav,,pa4,,false,0.3
audio,Emily_pa9_mono.wav,,pa5,,false,0.3
audio,Emily_pa10_mono.wav,,pa6,,false,0.3
audio,Emily_pa11_mono.wav,,pa7,,false,0.3
audio,Emily_pa12_mono.wav,,pa8,,false,0.3
audio,stim68_cat_meowing.wav,,cat_meowing,,false,0.3
audio,stim347_songbird.wav,,songbird,,false,0.3
text,"Which of the following listening devices are you currently using? ",center,logistic_headphone2,36px,,
text,"Please use earphones, earbuds or headphones for this study. Are you using any of them now?",center,logistic_headphone1,36px,,
text,Do you consider yourself as a monolingual English speaker? e.g. Is English the only language that you can understand and speak?,center,logistic_monoling_Eng,36px,,
