type,choices,feedback,key_mapping,target,instruction,name,multi_select,wrap,required,layout
choice,"[""Fat"",""Fad""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_fadfat,,,,
choice,"[""Fad"",""Fat""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_fadfat_rv,,,,
choice,"[""Lap"",""Lab""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_lablap,,,,
choice,"[""Lab"",""Lap""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_lablap_rv,,,,
choice,"[""Lack"",""Lag""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_laglack,,,,
choice,"[""Lag"",""Lack""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_laglack_rv,,,,
choice,"[""Longer"",""Shorter""]",false,"[""F"",""J""]","[""Longer""]",Is this tone shorter or longer?,pretestresponse_l_F,,,,
choice,"[""Shorter"",""Longer""]",false,"[""F"",""J""]","[""Longer""]",Is this tone shorter or longer?,pretestresponse_l_J,,,,
choice,"[""Shorter"",""Longer""]",false,"[""F"",""J""]","[""Longer""]",Is this tone shorter or longer?,pretestresponse_s_F,,,,
choice,"[""Longer"",""Shorter""]",false,"[""F"",""J""]","[""Longer""]",Is this tone shorter or longer?,pretestresponse_s_J,,,,
choice,"[""Yes"",""No""]",,,,,survey_headphone1,,,,
choice,"[""Wired Headphones"",""Wired Earbuds"",""Wireless Headphones"",""Wireless Earbuds"",""Built in Laptop/Desktop Speaker (Please use headphones if possible!)"",""External Ambient Speaker (Please use headphones if possible!)"",""Mobile Phone Speaker (Please complete on computer and use headphones if possible)"",""Other""]",,,,,survey_headphone2,,,,"[4,2]"
choice,"[1,2,3,4,5]",,,,,survey_noise,,,,
choice,"[""Lap"",""Lab""]",,"[""F"",""J""]",,The word spoken was:,testRsp,,,,
choice,"[""Lab"",""Lap""]",,"[""F"",""J""]",,The word spoken was:,testRsp_rv,,,,
choice,"[""Longer"",""Shorter""]",,"[""F"",""J""]","[""Longer""]",Is the last tone shorter or longer?,testresponse_l_F,,,,
choice,"[""Shorter"",""Longer""]",,"[""F"",""J""]","[""Longer""]",Is the last tone shorter or longer?,testresponse_l_J,,,,
choice,"[""Shorter"",""Longer""]",,"[""F"",""J""]","[""Shorter""]",Is the last tone shorter or longer?,testresponse_s_F,,,,
choice,"[""Longer"",""Shorter""]",,"[""F"",""J""]","[""Shorter""]",Is the last tone shorter or longer?,testresponse_s_J,,,,
choice,"[""Lap"",""Lab""]",true,"[""F"",""J""]","[""Lap""]",The word spoken was:,EXP8c_practiceRsp_s_F,,,,
choice,"[""Lab"",""Lap""]",true,"[""F"",""J""]","[""Lab""]",The word spoken was:,EXP8c_practiceRsp_l_F,,,,
choice,"[""Lab"",""Lap""]",true,"[""F"",""J""]","[""Lap""]",The word spoken was:,EXP8c_practiceRsp_s_J,,,,
choice,"[""Lap"",""Lab""]",true,"[""F"",""J""]","[""Lab""]",The word spoken was:,EXP8c_practiceRsp_l_J,,,,
choice,"[""Lab or Lap"",""Musical Tones""]",,,,,tone_or_word,,,,
